Variable,Overall__Emory,Overall__MIMIC,Overall__NU,Overall__OHSU,Overall__RUSH,Overall__Sunnybrook,Overall__UCMC,Overall__UCSF,Overall__UMN,Overall__UPenn,Overall__ALL
"28-day NIDFD (NIPPV/HFNC encounters), n (%)","28,326 (28.1%)","7,768 (8.6%)","29,733 (23.5%)","9,536 (14.0%)","9,338 (14.1%)",592 (1.0%),"11,617 (23.4%)","11,242 (14.5%)","73,898 (33.7%)","62,319 (31.5%)","244,369 (23.2%)"
"  NIDFD, median [Q1, Q3]","24 [17, 26]","25 [0, 27]","23 [4, 26]","23 [13, 26]","23 [5, 26]","25 [20, 26]","24 [14, 26]","23 [1, 26]","25 [18, 27]","24 [17, 26]","24.0 [0, 27]"
"Vasopressor encounters, n (%)","34,736 (34.4%)","27,022 (30.1%)","58,342 (46.1%)","31,095 (45.6%)","15,163 (22.8%)","15,924 (27.1%)","19,004 (38.3%)","27,230 (35.2%)","56,854 (25.9%)","59,664 (30.1%)","345,034 (32.7%)"
"  Norepinephrine, n (%)","28,358 (28.1%)","15,121 (16.8%)","41,372 (32.7%)","21,266 (31.2%)","13,393 (20.2%)","15,630 (26.6%)","12,650 (25.5%)","22,584 (29.2%)","36,946 (16.9%)","44,637 (22.5%)","251,957 (23.9%)"
"    Norepinephrine dose (mcg/kg/min), median [Q1, Q3]","0.05 [0.03, 0.06]","0.07 [0.03, 0.10]","0.05 [0.02, 0.07]","0.02 [0.02, 0.04]","0.06 [0.04, 0.09]","0.06 [0.04, 0.09]","0.08 [0.04, 0.12]","0.05 [0.03, 0.08]","0.04 [0.03, 0.07]","0.05 [0.03, 0.07]","0.1 [0.0, 0.1]"
"  Epinephrine, n (%)","9,623 (9.5%)","3,786 (4.2%)","10,187 (8.1%)","6,089 (8.9%)","3,054 (4.6%)","1,743 (3.0%)","4,381 (8.8%)","5,931 (7.7%)","16,782 (7.7%)","22,779 (11.5%)","84,355 (8.0%)"
"    Epinephrine dose (mcg/kg/min), median [Q1, Q3]","0.04 [0.03, 0.05]","0.02 [0.01, 0.04]","0.03 [0.02, 0.04]","0.02 [0.02, 0.04]","0.04 [0.02, 0.07]","0.09 [0.06, 0.11]","0.10 [0.05, 0.16]","0.04 [0.03, 0.05]","0.03 [0.02, 0.04]","0.03 [0.02, 0.03]","0.0 [0.0, 0.2]"
"  Phenylephrine, n (%)","8,788 (8.7%)","17,295 (19.3%)","26,861 (21.2%)","13,337 (19.5%)","3,846 (5.8%)",524 (0.9%),"10,537 (21.2%)","5,688 (7.4%)","23,517 (10.7%)","26,422 (13.3%)","136,815 (13.0%)"
"    Phenylephrine dose (mcg/kg/min), median [Q1, Q3]","0.50 [0.30, 0.57]","0.50 [0.25, 0.80]","0.41 [0.23, 0.59]","0.07 [0.04, 0.09]","0.42 [0.31, 0.56]","0.95 [0.69, 1.14]","0.50 [0.30, 0.70]","0.47 [0.31, 0.64]","0.30 [0.20, 0.45]","0.46 [0.26, 0.69]","0.4 [0.0, 1.1]"
"  Vasopressin, n (%)","12,302 (12.2%)","5,478 (6.1%)","16,505 (13.1%)","7,348 (10.8%)","4,864 (7.3%)","4,098 (7.0%)","6,590 (13.3%)","6,106 (7.9%)","15,215 (6.9%)","17,630 (8.9%)","96,136 (9.1%)"
"  Dopamine, n (%)",547 (0.5%),"2,101 (2.3%)","3,552 (2.8%)",939 (1.4%),314 (0.5%),446 (0.8%),"3,248 (6.5%)","1,804 (2.3%)","5,697 (2.6%)","1,345 (0.7%)","19,993 (1.9%)"
"    Dopamine dose (mcg/kg/min), median [Q1, Q3]","5.00 [3.00, 5.00]","4.50 [2.00, 6.00]","3.00 [2.00, 5.00]","2.75 [2.00, 3.75]","5.00 [2.50, 5.00]","5.00 [4.00, 5.00]","4.00 [2.50, 5.00]","3.00 [3.00, 4.00]","4.00 [2.50, 5.00]","4.00 [2.50, 5.00]","4.0 [2, 6]"
"Sedatives and analgesics, n (%)",,,,,,,,,,,
  Propofol,"9,127 (9.0%)","27,172 (30.2%)","48,800 (38.6%)","30,646 (44.9%)","9,044 (13.6%)","10,444 (17.7%)","19,902 (40.1%)","22,113 (28.6%)","41,660 (19.0%)","40,906 (20.7%)","259,814 (24.6%)"
  Midazolam,"2,811 (2.8%)","7,491 (8.3%)","3,037 (2.4%)","1,590 (2.3%)",925 (1.4%),"4,121 (7.0%)","1,011 (2.0%)","3,723 (4.8%)","13,012 (5.9%)","7,339 (3.7%)","45,060 (4.3%)"
  Lorazepam,60 (0.1%),42 (0.0%),570 (0.5%),159 (0.2%),83 (0.1%),19 (0.0%),28 (0.1%),97 (0.1%),"4,701 (2.1%)",728 (0.4%),"6,487 (0.6%)"
  Dexmedetomidine,"18,241 (18.1%)","7,997 (8.9%)","27,269 (21.6%)","13,825 (20.3%)","8,319 (12.5%)","3,460 (5.9%)","8,920 (18.0%)","13,440 (17.4%)","29,541 (13.5%)","16,803 (8.5%)","147,815 (14.0%)"
  Fentanyl,"12,203 (12.1%)","14,357 (16.0%)","20,769 (16.4%)","4,323 (6.3%)","8,990 (13.5%)","6,825 (11.6%)","11,704 (23.6%)","13,380 (17.3%)","23,947 (10.9%)","28,452 (14.4%)","144,950 (13.7%)"
"Neuromuscular blocking agents, n (%)",,,,,,,,,,,
  Cisatracurium,556 (0.6%),"1,716 (1.9%)","1,381 (1.1%)",677 (1.0%),661 (1.0%),,593 (1.2%),"1,438 (1.9%)","1,879 (0.9%)","3,669 (1.9%)","12,570 (1.3%)"
  Rocuronium,,313 (0.3%),141 (0.1%),619 (0.9%),10 (0.0%),"1,155 (2.0%)",29 (0.1%),10 (0.0%),291 (0.1%),77 (0.0%),"2,645 (0.3%)"
"Medications during IMV (N=277,667)",,,,,,,,,,,
"  Vasopressors, n (%)","17,505 (75.3%)","21,228 (59.4%)","31,393 (81.0%)","16,615 (76.2%)","9,168 (65.5%)",125 (9.2%),"12,544 (68.2%)","17,896 (66.9%)","33,147 (68.7%)","38,072 (77.2%)","197,693 (71.2%)"
"    Norepinephrine, n (%)","16,873 (72.6%)","11,381 (31.9%)","28,404 (73.3%)","13,518 (62.0%)","8,640 (61.7%)",122 (9.0%),"9,828 (53.4%)","15,431 (57.7%)","24,312 (50.4%)","29,721 (60.2%)","158,230 (57.0%)"
"      Norepinephrine dose (mcg/kg/min), median [Q1, Q3]","0.05 [0.03, 0.07]","0.07 [0.03, 0.12]","0.05 [0.02, 0.08]","0.02 [0.02, 0.04]","0.06 [0.04, 0.10]","0.06 [0.04, 0.09]","0.08 [0.05, 0.13]","0.05 [0.03, 0.08]","0.05 [0.03, 0.07]","0.05 [0.03, 0.07]","0.1 [0.0, 0.1]"
"    Epinephrine, n (%)","8,302 (35.7%)","3,661 (10.2%)","9,317 (24.0%)","4,678 (21.5%)","2,548 (18.2%)",13 (1.0%),"4,038 (21.9%)","5,257 (19.7%)","15,372 (31.8%)","20,017 (40.6%)","73,203 (26.4%)"
"      Epinephrine dose (mcg/kg/min), median [Q1, Q3]","0.04 [0.03, 0.05]","0.02 [0.01, 0.03]","0.03 [0.02, 0.04]","0.02 [0.02, 0.03]","0.05 [0.02, 0.08]","0.11 [0.10, 0.15]","0.10 [0.05, 0.17]","0.04 [0.03, 0.05]","0.03 [0.02, 0.04]","0.03 [0.02, 0.04]","0.0 [0.0, 0.2]"
"    Phenylephrine, n (%)","2,276 (9.8%)","15,106 (42.3%)","11,286 (29.1%)","5,994 (27.5%)","2,277 (16.3%)",<10,"6,775 (36.8%)","3,506 (13.1%)","12,809 (26.5%)","18,251 (37.0%)","78,280 (28.3%)"
"      Phenylephrine dose (mcg/kg/min), median [Q1, Q3]","0.55 [0.45, 0.80]","0.50 [0.25, 0.80]","0.59 [0.32, 0.90]","0.07 [0.04, 0.10]","0.59 [0.35, 0.93]","1.03 [0.81, 1.12]","0.58 [0.45, 1.00]","0.50 [0.33, 0.69]","0.35 [0.20, 0.50]","0.50 [0.27, 0.75]","0.5 [0.0, 1.1]"
"    Vasopressin, n (%)","9,680 (41.6%)","4,955 (13.9%)","13,598 (35.1%)","5,509 (25.3%)","3,898 (27.9%)",32 (2.4%),"5,783 (31.4%)","4,996 (18.7%)","12,722 (26.3%)","15,066 (30.5%)","76,239 (27.5%)"
"    Dopamine, n (%)",331 (1.4%),"1,299 (3.6%)","2,249 (5.8%)",436 (2.0%),147 (1.1%),<10,"2,409 (13.1%)","1,215 (4.5%)","3,550 (7.4%)",657 (1.3%),"12,293 (4.4%)"
"      Dopamine dose (mcg/kg/min), median [Q1, Q3]","5.00 [3.00, 5.00]","5.00 [2.00, 7.50]","3.00 [2.00, 4.00]","3.00 [2.00, 4.00]","5.00 [2.75, 5.00]","3.50 [3.50, 3.50]","4.00 [2.50, 5.00]","3.00 [3.00, 4.25]","4.00 [2.50, 5.00]","5.00 [3.00, 5.00]","4.1 [2, 7.5]"
"  Sedatives and analgesics, n (%)",,,,,,,,,,,
    Propofol,"9,108 (39.2%)","26,991 (75.5%)","33,473 (86.4%)","18,841 (86.4%)","8,785 (62.8%)",83 (6.1%),"16,026 (87.1%)","21,853 (81.7%)","34,571 (71.6%)","40,249 (81.6%)","209,980 (75.6%)"
    Midazolam,"2,562 (11.0%)","7,468 (20.9%)","3,018 (7.8%)","1,341 (6.1%)",910 (6.5%),38 (2.8%),"1,002 (5.4%)","3,421 (12.8%)","12,678 (26.3%)","7,236 (14.7%)","39,674 (14.3%)"
    Lorazepam,50 (0.2%),37 (0.1%),488 (1.3%),96 (0.4%),75 (0.5%),,25 (0.1%),45 (0.2%),"2,647 (5.5%)",615 (1.2%),"4,078 (1.4%)"
    Dexmedetomidine,"14,345 (61.7%)","7,513 (21.0%)","21,571 (55.6%)","8,777 (40.3%)","6,738 (48.1%)",26 (1.9%),"7,736 (42.0%)","10,983 (41.1%)","22,375 (46.3%)","13,458 (27.3%)","113,522 (40.9%)"
    Fentanyl,"11,976 (51.5%)","14,281 (40.0%)","20,312 (52.4%)","3,939 (18.1%)","8,547 (61.1%)",50 (3.7%),"11,170 (60.7%)","9,053 (33.9%)","21,586 (44.7%)","27,871 (56.5%)","128,785 (46.4%)"
"  Neuromuscular blocking agents, n (%)",,,,,,,,,,,
    Cisatracurium,555 (2.4%),"1,715 (4.8%)","1,380 (3.6%)",654 (3.0%),658 (4.7%),,591 (3.2%),"1,436 (5.4%)","1,757 (3.6%)","3,667 (7.4%)","12,413 (4.5%)"
    Rocuronium,,313 (0.9%),122 (0.3%),542 (2.5%),<10,<10,27 (0.1%),10 (0.0%),157 (0.3%),76 (0.2%),"1,247 (0.4%)"
